From	To
4896.SPAC17H9.11-1	O13808
4896.SPAC17H9.12c-1	O13809
4896.SPAC17H9.13c-1	O13810
4896.SPAC17H9.14c-1	O13811
4896.SPAC17H9.16-1	O13813
4896.SPAC17H9.17c-1	O13814
4896.SPAC17H9.20-1	O13816
4896.SPAC1805.02c-1	Q9UTH2
4896.SPAC1805.04-1	Q9UTH0
4896.SPAC1805.05-1	O74135
4896.SPAC1805.06c-1	P78974
4896.SPAC1805.08-1	Q9UTS6
4896.SPAC1805.13-1	O94238
4896.SPAC1805.15c-1	Q9UTG2
4896.SPAC1805.16c-1	Q9UTG1
4896.SPAC1805.17-1	P14068
4896.SPAC1834.01-1	P79063
4896.SPAC1834.02-1	Q9P7R0
4896.SPAC1834.05-1	Q9P7Q9
4896.SPAC1834.06c-1	Q9P7Q8
4896.SPAC1834.08-1	Q9P7Q7
4896.SPAC1834.11c-1	Q9P7Q4
4896.SPAC1851.02-1	Q9US20
4896.SPAC1851.03-1	P40232
4896.SPAC1851.04c-1	O42656
4896.SPAC18B11.02c-1	Q09709
4896.SPAC18B11.04-1	Q09711
4896.SPAC18B11.06-1	Q09713
4896.SPAC18B11.07c-1	P23566
4896.SPAC18B11.08c-1	Q09714
4896.SPAC18B11.10-1	Q09715
4896.SPAC18G6.01c-1	Q10102
4896.SPAC18G6.03-1	P17610
4896.SPAC18G6.04c-1	Q10104
4896.SPAC18G6.05c-1	Q10105
4896.SPAC18G6.06-1	Q10106
4896.SPAC18G6.07c-1	Q10107
4896.SPAC18G6.09c-1	Q10108
4896.SPAC18G6.10-1	Q10109
4896.SPAC18G6.11c-1	Q10110
4896.SPAC18G6.12c-1	Q10111
4896.SPAC18G6.13-1	Q10112
4896.SPAC18G6.14c-1	Q10101
4896.SPAC18G6.15-1	Q10113
4896.SPAC1952.03-1	Q9UUK3
4896.SPAC1952.05-1	Q9UUK2
4896.SPAC1952.06c-1	Q9UUK1
4896.SPAC1952.08c-1	Q9UUK0
4896.SPAC1952.09c-1	Q9UUJ9
4896.SPAC1952.11c-1	O00084
4896.SPAC1952.13-1	Q9UUJ6
4896.SPAC1952.14c-1	Q9UUJ5
4896.SPAC1952.16-1	Q9UUJ3
4896.SPAC19A8.04-1	O13820
4896.SPAC19A8.05c-1	O13821
4896.SPAC19A8.06-1	O13822
4896.SPAC19A8.07c-1	O13823
4896.SPAC19A8.08-1	O13824
4896.SPAC19A8.12-1	O13828
4896.SPAC19A8.13-1	O13829
4896.SPAC19A8.14-1	O13830
4896.SPAC19A8.15-1	O13831
4896.SPAC19B12.01-1	O36033
4896.SPAC19B12.02c-1	Q9P378
4896.SPAC19B12.03-1	Q9P377
4896.SPAC19B12.05c-1	Q9P376
4896.SPAC19B12.06c-1	Q9P375
4896.SPAC19B12.09-1	Q9P372
4896.SPAC19B12.10-1	Q9P371
4896.SPAC19B12.11c-1	Q9P370
4896.SPAC19B12.13-1	Q86ZU7
4896.SPAC19D5.04-1	O13834
4896.SPAC19D5.05c-1	O13835
4896.SPAC19D5.07-1	O13837
4896.SPAC19E9.01c-1	O13838
4896.SPAC19G12.01c-1	O42839
4896.SPAC19G12.02c-1	P54280
4896.SPAC19G12.03-1	O13842
4896.SPAC19G12.04-1	O13843
4896.SPAC19G12.05-1	O13844
4896.SPAC19G12.07c-1	O13845
4896.SPAC19G12.08-1	O13846
4896.SPAC19G12.09-1	O13848
4896.SPAC19G12.10c-1	O13849
4896.SPAC19G12.11-1	O13850
4896.SPAC19G12.13c-1	O13852
4896.SPAC19G12.14-1	O13853
4896.SPAC19G12.15c-1	P78875
4896.SPAC1A6.02-1	O13856
4896.SPAC1A6.03c-1	O13857
4896.SPAC1A6.04c-1	P78854
